2026-02-14 19:26:49,964 - INFO - Using device: cuda
2026-02-14 19:26:52,952 - INFO - Training for 100 epochs...
Epochs:   0%|          | 0/100 [00:00<?, ?it/s]2026-02-14 19:26:56,740 - DEBUG - Step 1, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:26:59,059 - DEBUG - Step 2, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:27:01,320 - DEBUG - Step 3, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:27:03,504 - DEBUG - Step 4, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:27:05,677 - DEBUG - Step 5, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:27:07,893 - DEBUG - Step 6, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:27:10,073 - DEBUG - Step 7, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:27:12,266 - DEBUG - Step 8, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:27:14,431 - DEBUG - Step 9, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:27:16,707 - DEBUG - Step 10, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:27:18,914 - DEBUG - Step 11, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:27:21,158 - DEBUG - Step 12, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:27:23,358 - DEBUG - Step 13, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:27:25,585 - DEBUG - Step 14, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:27:27,766 - DEBUG - Step 15, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:27:29,923 - DEBUG - Step 16, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:27:32,291 - DEBUG - Step 17, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:27:34,665 - DEBUG - Step 18, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:27:36,659 - DEBUG - Step 19, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:27:38,708 - DEBUG - Step 20, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:27:40,769 - DEBUG - Step 21, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:27:42,757 - DEBUG - Step 22, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:27:44,862 - DEBUG - Step 23, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:27:46,866 - DEBUG - Step 24, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:27:48,884 - DEBUG - Step 25, Step loss = 0.0044, Image loss = 0.0044, Grad loss = 0.0000
2026-02-14 19:27:50,912 - DEBUG - Step 26, Step loss = 0.0030, Image loss = 0.0030, Grad loss = 0.0000
2026-02-14 19:27:53,018 - DEBUG - Step 27, Step loss = 0.0043, Image loss = 0.0043, Grad loss = 0.0000
2026-02-14 19:27:55,065 - DEBUG - Step 28, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:27:56,939 - DEBUG - Step 29, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:27:58,701 - DEBUG - Step 30, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:28:00,577 - DEBUG - Step 31, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:28:02,581 - DEBUG - Step 32, Step loss = 0.0032, Image loss = 0.0032, Grad loss = 0.0000
2026-02-14 19:28:04,658 - DEBUG - Step 33, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:28:06,597 - DEBUG - Step 34, Step loss = 0.0032, Image loss = 0.0032, Grad loss = 0.0000
2026-02-14 19:28:08,664 - DEBUG - Step 35, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:28:10,687 - DEBUG - Step 36, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:28:12,479 - DEBUG - Step 37, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:28:14,493 - DEBUG - Step 38, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:28:16,410 - DEBUG - Step 39, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:28:18,324 - DEBUG - Step 40, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:28:20,166 - DEBUG - Step 41, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:28:22,148 - DEBUG - Step 42, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:28:24,049 - DEBUG - Step 43, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:28:25,742 - DEBUG - Step 44, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:28:27,793 - DEBUG - Step 45, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:28:29,539 - DEBUG - Step 46, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:28:31,418 - DEBUG - Step 47, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:28:33,452 - DEBUG - Step 48, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:28:35,344 - DEBUG - Step 49, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:28:37,169 - DEBUG - Step 50, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:28:39,141 - DEBUG - Step 51, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:28:40,859 - DEBUG - Step 52, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:28:42,828 - DEBUG - Step 53, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:28:44,761 - DEBUG - Step 54, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:28:46,591 - DEBUG - Step 55, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:28:48,591 - DEBUG - Step 56, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:28:50,500 - DEBUG - Step 57, Step loss = 0.0029, Image loss = 0.0029, Grad loss = 0.0000
2026-02-14 19:28:52,457 - DEBUG - Step 58, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:28:54,354 - DEBUG - Step 59, Step loss = 0.0032, Image loss = 0.0032, Grad loss = 0.0000
2026-02-14 19:28:56,495 - DEBUG - Step 60, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:28:58,531 - DEBUG - Step 61, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:29:00,396 - DEBUG - Step 62, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:02,294 - DEBUG - Step 63, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:29:04,101 - DEBUG - Step 64, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:29:06,002 - DEBUG - Step 65, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:29:07,858 - DEBUG - Step 66, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-14 19:29:09,655 - DEBUG - Step 67, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-14 19:29:11,402 - DEBUG - Step 68, Step loss = 0.0030, Image loss = 0.0030, Grad loss = 0.0000
2026-02-14 19:29:13,249 - DEBUG - Step 69, Step loss = 0.0032, Image loss = 0.0032, Grad loss = 0.0000
2026-02-14 19:29:15,039 - DEBUG - Step 70, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:29:16,861 - DEBUG - Step 71, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:29:18,675 - DEBUG - Step 72, Step loss = 0.0029, Image loss = 0.0029, Grad loss = 0.0000
2026-02-14 19:29:20,371 - DEBUG - Step 73, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:29:22,110 - DEBUG - Step 74, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:23,970 - DEBUG - Step 75, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-14 19:29:25,780 - DEBUG - Step 76, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:29:27,620 - DEBUG - Step 77, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:29:29,375 - DEBUG - Step 78, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:29:31,124 - DEBUG - Step 79, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-14 19:29:32,878 - DEBUG - Step 80, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:34,784 - DEBUG - Step 81, Step loss = 0.0031, Image loss = 0.0031, Grad loss = 0.0000
2026-02-14 19:29:36,538 - DEBUG - Step 82, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-14 19:29:38,312 - DEBUG - Step 83, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-14 19:29:40,080 - DEBUG - Step 84, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:41,775 - DEBUG - Step 85, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:29:43,523 - DEBUG - Step 86, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-14 19:29:45,213 - DEBUG - Step 87, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-14 19:29:47,214 - DEBUG - Step 88, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-14 19:29:49,190 - DEBUG - Step 89, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-14 19:29:51,070 - DEBUG - Step 90, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
