2026-02-15 00:00:21,876 - INFO - Using device: cuda
2026-02-15 00:00:22,095 - INFO - Using FP16 precision for training
2026-02-15 00:00:24,281 - INFO - Training for 100 epochs...
Epochs:   0%|          | 0/100 [00:00<?, ?it/s]2026-02-15 00:00:27,048 - DEBUG - Step 1, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-15 00:00:28,853 - DEBUG - Step 2, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:00:30,611 - DEBUG - Step 3, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:00:32,433 - DEBUG - Step 4, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:00:34,154 - DEBUG - Step 5, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:00:35,858 - DEBUG - Step 6, Step loss = nan, Image loss = 0.0192, Grad loss = nan
2026-02-15 00:00:37,563 - DEBUG - Step 7, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:00:39,250 - DEBUG - Step 8, Step loss = nan, Image loss = 0.0184, Grad loss = nan
2026-02-15 00:00:40,942 - DEBUG - Step 9, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:00:42,645 - DEBUG - Step 10, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:00:44,510 - DEBUG - Step 11, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:00:46,277 - DEBUG - Step 12, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:00:48,015 - DEBUG - Step 13, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:00:49,755 - DEBUG - Step 14, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:00:51,467 - DEBUG - Step 15, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:00:53,174 - DEBUG - Step 16, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:00:54,948 - DEBUG - Step 17, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:00:56,649 - DEBUG - Step 18, Step loss = nan, Image loss = 0.0216, Grad loss = nan
2026-02-15 00:00:58,352 - DEBUG - Step 19, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:01:00,066 - DEBUG - Step 20, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:01:01,794 - DEBUG - Step 21, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:01:03,495 - DEBUG - Step 22, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:01:05,236 - DEBUG - Step 23, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:01:06,948 - DEBUG - Step 24, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:01:08,731 - DEBUG - Step 25, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:01:10,512 - DEBUG - Step 26, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:01:12,260 - DEBUG - Step 27, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:01:14,008 - DEBUG - Step 28, Step loss = nan, Image loss = 0.0190, Grad loss = nan
2026-02-15 00:01:15,728 - DEBUG - Step 29, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:01:17,437 - DEBUG - Step 30, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:01:19,162 - DEBUG - Step 31, Step loss = nan, Image loss = 0.0211, Grad loss = nan
2026-02-15 00:01:20,958 - DEBUG - Step 32, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:01:22,656 - DEBUG - Step 33, Step loss = nan, Image loss = 0.0212, Grad loss = nan
2026-02-15 00:01:24,354 - DEBUG - Step 34, Step loss = nan, Image loss = 0.0198, Grad loss = nan
2026-02-15 00:01:26,090 - DEBUG - Step 35, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:01:27,854 - DEBUG - Step 36, Step loss = nan, Image loss = 0.0198, Grad loss = nan
2026-02-15 00:01:29,566 - DEBUG - Step 37, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:01:31,287 - DEBUG - Step 38, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:01:32,985 - DEBUG - Step 39, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:01:34,798 - DEBUG - Step 40, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:01:36,492 - DEBUG - Step 41, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:01:38,190 - DEBUG - Step 42, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:01:39,909 - DEBUG - Step 43, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:01:41,625 - DEBUG - Step 44, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:01:43,322 - DEBUG - Step 45, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:01:45,034 - DEBUG - Step 46, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:01:46,749 - DEBUG - Step 47, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:01:48,603 - DEBUG - Step 48, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:01:50,321 - DEBUG - Step 49, Step loss = nan, Image loss = 0.0212, Grad loss = nan
2026-02-15 00:01:52,014 - DEBUG - Step 50, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:01:53,698 - DEBUG - Step 51, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:01:55,404 - DEBUG - Step 52, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:01:57,192 - DEBUG - Step 53, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:01:58,894 - DEBUG - Step 54, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:02:00,602 - DEBUG - Step 55, Step loss = nan, Image loss = 0.0191, Grad loss = nan
2026-02-15 00:02:02,405 - DEBUG - Step 56, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:02:04,110 - DEBUG - Step 57, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:02:05,808 - DEBUG - Step 58, Step loss = nan, Image loss = 0.0191, Grad loss = nan
2026-02-15 00:02:07,504 - DEBUG - Step 59, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:02:09,218 - DEBUG - Step 60, Step loss = nan, Image loss = 0.0220, Grad loss = nan
2026-02-15 00:02:10,989 - DEBUG - Step 61, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:02:12,689 - DEBUG - Step 62, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:02:14,402 - DEBUG - Step 63, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:02:16,107 - DEBUG - Step 64, Step loss = nan, Image loss = 0.0189, Grad loss = nan
2026-02-15 00:02:17,821 - DEBUG - Step 65, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:02:19,542 - DEBUG - Step 66, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:02:21,258 - DEBUG - Step 67, Step loss = nan, Image loss = 0.0216, Grad loss = nan
2026-02-15 00:02:22,967 - DEBUG - Step 68, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:02:24,677 - DEBUG - Step 69, Step loss = nan, Image loss = 0.0213, Grad loss = nan
2026-02-15 00:02:26,386 - DEBUG - Step 70, Step loss = nan, Image loss = 0.0215, Grad loss = nan
2026-02-15 00:02:28,168 - DEBUG - Step 71, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:02:29,881 - DEBUG - Step 72, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:02:31,591 - DEBUG - Step 73, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:02:33,308 - DEBUG - Step 74, Step loss = nan, Image loss = 0.0191, Grad loss = nan
2026-02-15 00:02:35,016 - DEBUG - Step 75, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:02:36,730 - DEBUG - Step 76, Step loss = nan, Image loss = 0.0190, Grad loss = nan
2026-02-15 00:02:38,426 - DEBUG - Step 77, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:02:40,131 - DEBUG - Step 78, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:02:41,852 - DEBUG - Step 79, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:02:43,552 - DEBUG - Step 80, Step loss = nan, Image loss = 0.0195, Grad loss = nan
2026-02-15 00:02:45,272 - DEBUG - Step 81, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:02:46,992 - DEBUG - Step 82, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:02:48,705 - DEBUG - Step 83, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:02:50,424 - DEBUG - Step 84, Step loss = nan, Image loss = 0.0211, Grad loss = nan
2026-02-15 00:02:52,151 - DEBUG - Step 85, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:02:53,849 - DEBUG - Step 86, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:02:55,567 - DEBUG - Step 87, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:02:57,346 - DEBUG - Step 88, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:02:59,095 - DEBUG - Step 89, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:03:00,909 - DEBUG - Step 90, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:03:02,620 - DEBUG - Step 91, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:03:04,326 - DEBUG - Step 92, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:03:06,036 - DEBUG - Step 93, Step loss = nan, Image loss = 0.0195, Grad loss = nan
2026-02-15 00:03:07,755 - DEBUG - Step 94, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:03:09,458 - DEBUG - Step 95, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:03:11,174 - DEBUG - Step 96, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:03:12,882 - DEBUG - Step 97, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:03:14,608 - DEBUG - Step 98, Step loss = nan, Image loss = 0.0218, Grad loss = nan
2026-02-15 00:03:16,329 - DEBUG - Step 99, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:03:18,034 - DEBUG - Step 100, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:03:18,035 - INFO - Epoch 1/100, Loss: nan
Epochs:   1%|          | 1/100 [02:53<4:46:41, 173.75s/it]2026-02-15 00:03:19,784 - DEBUG - Step 1, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:03:21,504 - DEBUG - Step 2, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:03:23,225 - DEBUG - Step 3, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:03:24,935 - DEBUG - Step 4, Step loss = nan, Image loss = 0.0198, Grad loss = nan
2026-02-15 00:03:26,711 - DEBUG - Step 5, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:03:28,412 - DEBUG - Step 6, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:03:30,119 - DEBUG - Step 7, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:03:31,829 - DEBUG - Step 8, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:03:33,544 - DEBUG - Step 9, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:03:35,252 - DEBUG - Step 10, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:03:36,978 - DEBUG - Step 11, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:03:38,686 - DEBUG - Step 12, Step loss = nan, Image loss = 0.0211, Grad loss = nan
2026-02-15 00:03:40,436 - DEBUG - Step 13, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:03:42,146 - DEBUG - Step 14, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:03:43,909 - DEBUG - Step 15, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:03:45,622 - DEBUG - Step 16, Step loss = nan, Image loss = 0.0213, Grad loss = nan
2026-02-15 00:03:47,338 - DEBUG - Step 17, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:03:49,055 - DEBUG - Step 18, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:03:50,775 - DEBUG - Step 19, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:03:52,488 - DEBUG - Step 20, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:03:54,196 - DEBUG - Step 21, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:03:55,897 - DEBUG - Step 22, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:03:57,661 - DEBUG - Step 23, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:03:59,374 - DEBUG - Step 24, Step loss = nan, Image loss = 0.0196, Grad loss = nan
2026-02-15 00:04:01,077 - DEBUG - Step 25, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:04:02,772 - DEBUG - Step 26, Step loss = nan, Image loss = 0.0201, Grad loss = nan
