2026-02-14 19:09:55,809 - INFO - Using device: cuda
2026-02-14 19:09:56,091 - INFO - Using FP16 precision for training
2026-02-14 19:09:56,873 - INFO - Training for 100 epochs...
2026-02-14 19:09:59,550 - DEBUG - Step 1, Step loss = 0.0073, Image loss = 0.0073, Grad loss = 0.0000
2026-02-14 19:09:59,581 - DEBUG - Step 2, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,602 - DEBUG - Step 3, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,622 - DEBUG - Step 4, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,642 - DEBUG - Step 5, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,661 - DEBUG - Step 6, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,690 - DEBUG - Step 7, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,717 - DEBUG - Step 8, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,746 - DEBUG - Step 9, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,773 - DEBUG - Step 10, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,802 - DEBUG - Step 11, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,830 - DEBUG - Step 12, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,859 - DEBUG - Step 13, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,879 - DEBUG - Step 14, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,899 - DEBUG - Step 15, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,919 - DEBUG - Step 16, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,948 - DEBUG - Step 17, Step loss = nan, Image loss = nan, Grad loss = nan
2026-02-14 19:09:59,968 - DEBUG - Step 18, Step loss = nan, Image loss = nan, Grad loss = nan
