2026-02-10 15:50:07,949 - INFO - Using device: cuda
2026-02-10 15:50:10,262 - INFO - Training for 100 epochs...
2026-02-10 15:50:13,447 - DEBUG - Step 1, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-10 15:50:15,751 - DEBUG - Step 2, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-10 15:50:17,957 - DEBUG - Step 3, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-10 15:50:20,195 - DEBUG - Step 4, Step loss = 0.0042, Image loss = 0.0042, Grad loss = 0.0000
2026-02-10 15:50:22,398 - DEBUG - Step 5, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-10 15:50:24,701 - DEBUG - Step 6, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-10 15:50:26,925 - DEBUG - Step 7, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-10 15:50:29,159 - DEBUG - Step 8, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-10 15:50:31,331 - DEBUG - Step 9, Step loss = 0.0039, Image loss = 0.0039, Grad loss = 0.0000
2026-02-10 15:50:33,611 - DEBUG - Step 10, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-10 15:50:35,823 - DEBUG - Step 11, Step loss = 0.0041, Image loss = 0.0041, Grad loss = 0.0000
2026-02-10 15:50:38,124 - DEBUG - Step 12, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-10 15:50:40,370 - DEBUG - Step 13, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-10 15:50:42,541 - DEBUG - Step 14, Step loss = 0.0040, Image loss = 0.0040, Grad loss = 0.0000
2026-02-10 15:50:44,727 - DEBUG - Step 15, Step loss = 0.0036, Image loss = 0.0036, Grad loss = 0.0000
2026-02-10 15:50:46,896 - DEBUG - Step 16, Step loss = 0.0037, Image loss = 0.0037, Grad loss = 0.0000
2026-02-10 15:50:49,184 - DEBUG - Step 17, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-10 15:50:51,381 - DEBUG - Step 18, Step loss = 0.0033, Image loss = 0.0033, Grad loss = 0.0000
2026-02-10 15:50:53,529 - DEBUG - Step 19, Step loss = 0.0034, Image loss = 0.0034, Grad loss = 0.0000
2026-02-10 15:50:55,648 - DEBUG - Step 20, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-10 15:50:57,778 - DEBUG - Step 21, Step loss = 0.0035, Image loss = 0.0035, Grad loss = 0.0000
2026-02-10 15:50:59,706 - DEBUG - Step 22, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
